100 680
0 3 6
0 37 51
0 51 83
0 98 30
1 14 22
1 20 89
1 21 55
1 61 20
1 81 66
1 89 64
2 7 43
2 25 73
2 39 94
2 40 71
2 45 23
2 47 63
2 57 28
2 76 75
2 85 29
3 5 65
3 11 32
3 13 81
3 14 84
3 33 93
3 35 23
3 41 90
3 73 94
3 88 1
4 5 41
4 22 22
4 23 30
4 36 99
4 40 15
4 50 52
4 56 45
5 9 66
5 21 40
5 66 89
5 72 97
5 78 83
6 2 9
6 14 94
6 30 43
6 33 17
6 35 70
6 70 92
6 78 56
7 20 58
7 22 85
7 25 13
7 55 18
7 66 27
7 72 60
7 85 80
7 93 22
8 20 23
8 30 46
8 41 100
8 44 81
8 46 11
8 58 46
8 62 73
8 74 43
8 86 9
8 96 55
9 19 52
9 27 34
9 28 21
9 39 27
9 43 92
9 56 52
9 59 77
9 82 12
9 83 48
9 84 89
10 31 5
10 33 23
10 44 21
10 56 48
10 68 70
10 86 37
11 6 98
11 15 100
11 49 67
11 63 27
11 71 83
11 84 53
12 30 54
12 46 54
12 59 33
12 92 36
13 11 14
13 60 43
13 67 25
13 71 14
14 26 87
14 47 47
14 51 51
14 52 98
14 86 7
14 98 21
15 11 33
15 54 8
16 14 69
16 20 39
16 24 52
16 28 60
16 33 70
16 47 64
16 48 10
16 53 92
16 54 89
16 55 43
16 84 22
16 87 62
16 93 44
17 28 47
17 43 88
17 64 37
17 68 91
17 91 19
17 97 100
18 6 16
18 22 97
18 45 16
18 65 30
18 79 79
18 87 90
18 96 22
19 8 8
19 11 38
19 17 31
19 18 32
19 34 84
19 35 48
19 37 11
19 53 90
19 61 7
19 74 37
19 91 12
19 99 37
20 9 27
20 17 42
20 26 63
20 48 58
20 55 25
20 58 50
21 12 40
21 34 45
21 44 15
21 63 41
22 45 52
22 65 60
22 70 82
23 10 45
23 21 2
23 46 12
23 79 41
23 83 79
23 91 3
24 8 46
24 11 27
24 15 37
24 20 63
24 27 43
24 54 86
24 76 42
24 81 70
25 23 71
25 24 21
25 37 19
25 44 78
25 53 15
25 63 26
25 82 58
25 91 39
26 27 82
26 30 100
26 51 86
26 52 90
26 54 71
26 77 57
26 94 27
27 2 9
27 15 31
27 22 6
27 33 99
27 50 7
27 78 19
27 93 53
27 95 20
28 13 40
28 17 91
28 19 10
28 20 1
28 47 39
28 55 26
28 56 94
28 70 97
28 78 90
28 87 26
29 16 42
29 68 1
29 81 19
29 99 5
30 20 52
31 22 36
31 32 86
31 35 9
31 36 92
31 73 1
31 84 40
31 88 63
31 93 15
32 2 73
32 28 23
32 43 46
32 61 10
32 70 79
32 71 7
32 74 49
32 83 25
32 94 26
32 97 3
32 99 75
33 5 28
33 11 28
33 12 13
33 22 46
33 29 81
33 30 19
33 47 59
34 35 17
34 46 99
34 48 11
34 56 97
34 92 15
35 7 99
35 37 76
35 66 93
35 75 67
35 80 74
35 95 57
36 8 48
36 11 69
36 22 8
36 67 85
36 72 14
36 77 19
37 11 51
37 36 58
37 89 17
38 5 2
38 6 89
38 43 15
38 47 72
38 53 31
38 57 61
39 1 81
39 4 35
39 37 46
39 46 98
39 62 80
39 81 26
39 86 42
39 90 85
39 94 5
40 13 75
40 20 40
40 22 1
40 35 15
40 55 80
40 84 40
41 14 60
41 23 53
41 29 8
41 48 22
41 52 61
42 38 60
43 2 95
43 10 13
43 15 83
43 39 22
43 47 7
43 52 40
43 55 30
43 80 75
43 84 40
43 98 9
44 14 46
44 15 15
44 69 52
44 75 88
44 81 62
45 11 10
45 15 3
45 21 85
45 25 22
45 50 73
45 66 34
45 67 15
46 3 37
46 19 76
46 55 88
46 56 63
46 60 9
46 65 56
46 74 71
46 91 59
47 29 39
47 46 74
47 54 25
47 96 74
48 14 89
48 30 57
48 53 25
48 62 98
48 69 52
49 21 5
49 24 15
49 26 83
49 39 37
49 43 26
49 50 53
49 56 89
49 83 49
49 88 4
49 89 15
50 8 41
50 13 13
50 22 8
50 26 13
50 32 21
50 38 20
50 40 97
50 56 72
50 89 45
51 5 69
51 9 79
51 18 92
51 29 11
51 36 5
51 43 8
51 45 29
51 46 99
51 50 22
51 71 12
51 77 91
51 87 80
51 91 18
51 92 82
51 95 85
52 2 13
52 10 95
52 30 91
52 44 80
52 46 42
52 82 92
53 2 10
53 4 50
53 16 59
53 45 90
53 48 76
53 55 18
53 60 18
54 10 33
54 20 79
54 29 36
54 33 54
54 34 69
54 76 51
55 9 65
55 15 100
55 72 32
56 12 25
56 43 39
56 45 63
56 53 16
56 62 32
56 70 65
56 75 13
57 1 38
57 25 10
57 49 41
57 52 28
57 62 53
57 88 33
58 9 89
58 16 60
58 32 33
58 41 85
58 71 6
58 73 22
58 85 20
59 2 74
59 3 53
59 14 85
59 37 62
59 41 23
59 60 71
59 79 61
60 20 16
60 29 6
60 31 32
60 36 38
60 77 6
60 81 10
60 92 59
61 5 18
61 12 83
61 17 19
61 19 37
61 34 45
61 46 33
61 49 66
61 83 94
62 18 40
62 30 91
62 91 23
62 96 34
62 97 24
63 2 30
63 17 5
63 48 30
63 50 25
63 62 55
63 74 79
63 89 82
64 1 70
64 27 45
64 35 72
64 48 62
64 56 79
64 75 47
65 6 6
65 12 38
65 28 57
65 39 4
65 42 63
65 66 88
66 7 13
66 13 83
66 22 3
66 25 7
66 36 96
66 65 89
66 71 96
66 73 2
66 89 10
66 96 64
67 44 75
67 70 47
68 2 69
68 14 70
68 17 18
68 48 54
68 54 46
68 57 84
68 69 3
68 87 18
68 90 56
69 9 72
69 10 76
69 11 40
69 31 29
69 36 66
69 39 52
69 64 2
69 70 78
69 81 7
69 87 75
69 98 61
70 8 8
70 24 100
70 33 12
70 66 13
70 78 30
70 86 26
70 87 53
71 1 48
71 15 94
71 39 19
71 47 31
71 86 96
71 87 50
72 12 42
72 61 73
72 69 35
72 73 55
72 79 58
72 87 11
72 93 98
72 96 32
72 99 8
73 28 87
73 33 47
73 51 4
73 66 4
73 68 99
73 87 48
74 2 83
74 26 83
74 32 10
74 34 42
74 47 63
74 51 57
74 67 33
74 78 30
74 98 44
75 4 19
75 8 31
75 35 54
75 56 96
75 62 32
75 79 31
76 18 34
76 37 90
76 50 50
76 90 11
77 24 49
77 45 85
77 73 49
77 75 4
77 85 68
77 89 24
77 90 3
78 17 66
78 27 35
78 36 32
78 47 83
78 67 91
78 88 93
78 96 1
79 4 60
79 13 77
79 85 11
79 98 71
80 23 19
80 28 88
80 45 40
80 46 55
80 53 94
80 58 97
80 61 18
80 63 84
80 79 65
80 90 46
81 21 34
81 22 48
81 29 30
81 66 94
81 69 50
81 86 53
81 88 83
82 12 56
82 28 32
82 31 71
82 38 98
82 71 17
82 75 18
82 98 32
83 12 11
83 21 71
83 36 44
83 56 63
83 67 74
83 70 97
83 71 10
83 91 20
84 12 81
84 15 22
84 20 20
84 24 69
84 32 4
84 51 72
84 61 81
84 70 63
84 88 11
84 92 17
85 23 45
85 54 20
86 6 34
86 18 24
86 24 57
86 33 98
86 34 76
86 36 14
86 38 60
86 50 19
87 17 3
87 40 65
87 49 54
87 53 5
87 57 70
87 66 92
87 73 79
88 1 32
88 17 67
88 42 27
88 43 66
88 45 58
88 51 40
88 55 94
88 65 2
88 78 61
88 82 49
88 86 52
88 89 73
89 4 6
89 8 20
89 9 88
89 14 65
89 51 69
89 66 62
89 70 73
89 77 24
89 98 65
90 8 34
90 27 18
90 36 36
90 64 19
90 86 13
90 87 71
90 97 53
91 38 43
91 49 56
91 52 33
91 54 73
91 97 37
92 2 37
92 3 69
92 8 65
92 17 36
92 47 24
92 61 26
93 6 80
93 8 53
93 14 33
93 23 99
93 25 22
93 32 50
93 74 73
93 87 14
94 12 61
94 28 11
94 55 72
95 7 40
95 26 64
95 37 55
95 74 5
95 86 25
96 19 66
96 25 46
96 40 64
96 51 56
96 57 81
96 85 66
96 87 74
96 91 47
96 93 38
97 1 49
97 2 89
97 9 16
97 14 60
97 26 27
97 32 56
97 39 24
97 42 50
97 65 64
97 66 45
97 69 37
97 70 53
97 75 54
97 89 36
97 94 42
97 99 76
98 11 95
98 57 33
98 63 18
98 70 21
